Model,Epoch,Train_Loss,Train_Accuracy,Train_Accuracy_Percent,Test_Loss,Test_Accuracy,Test_Accuracy_Percent,Epoch_Time
LSTM,1,0.5155322972814242,0.8125083333333334,81.25083333333333,0.33092382788157265,0.888421052631579,88.8421052631579,222.64716386795044
GRU,1,0.4599041083812714,0.8311,83.11,0.3079018900875284,0.8980263157894737,89.80263157894737,159.6339089870453
LSTM,2,0.28215553684631983,0.909325,90.9325,0.2875416101026936,0.9084210526315789,90.84210526315789,226.85586428642273
GRU,2,0.25025667821764946,0.917125,91.71249999999999,0.2691796924136266,0.9098684210526315,90.98684210526315,162.0928065776825
LSTM,3,0.21786642139355342,0.9293166666666667,92.93166666666667,0.2825722966750129,0.9076315789473685,90.76315789473685,217.6000621318817
GRU,3,0.18574961275557678,0.9387,93.87,0.2757022106597404,0.9102631578947369,91.02631578947368,162.04784035682678
LSTM,4,0.17306468436618647,0.9445333333333333,94.45333333333333,0.2842261175460675,0.9155263157894736,91.55263157894737,213.58102941513062
GRU,4,0.14000154100904863,0.95305,95.30499999999999,0.29956332331194596,0.9101315789473684,91.01315789473684,159.7888321876526
LSTM,5,0.13325090406586726,0.9558833333333333,95.58833333333332,0.28437895427982346,0.9142105263157895,91.42105263157895,216.8090329170227
GRU,5,0.10142340532590946,0.96625,96.625,0.3024978415430093,0.9119736842105263,91.19736842105263,161.95652437210083
