epoch,loss,accuracy,learning_rate
1,1.891501089496076,0.4109,0.1
2,1.4656531694904922,0.4597,0.095
3,1.2224999250048567,0.5558,0.09000000000000001
4,1.0452410528422011,0.6821,0.085
5,0.9163642737566663,0.6633,0.08000000000000002
6,0.8122314742154173,0.7348,0.07500000000000001
7,0.7285805759984819,0.7808,0.06999999999999999
8,0.6581139720766745,0.783,0.065
9,0.6201565896001313,0.8041,0.06
10,0.5690431386765922,0.8262,0.05500000000000001
11,0.533936383321767,0.8202,0.05
12,0.5006129690600783,0.851,0.045
13,0.46614518540594585,0.8338,0.04000000000000001
14,0.4342742618316275,0.8585,0.034999999999999996
15,0.39755959389612194,0.8568,0.030000000000000006
16,0.3663461574203218,0.8773,0.025
17,0.328829970391815,0.8728,0.019999999999999997
18,0.29583215145656216,0.8845,0.015000000000000003
19,0.2500155046772774,0.8985,0.009999999999999998
20,0.21751122778791296,0.9128,0.0050000000000000044
