epoch,loss,accuracy,learning_rate
1,1.9567703008651733,0.3595,0.1
2,1.5333084773529522,0.4721,0.1
3,1.2831037552155498,0.5623,0.1
4,1.1032615021976364,0.603,0.1
5,0.9654106743195477,0.6647,0.1
6,0.85369132196202,0.716,0.1
7,0.7629821151113876,0.7083,0.1
8,0.7113857186968674,0.7241,0.1
9,0.6790973127193158,0.7655,0.1
10,0.6601098888670393,0.6523,0.1
11,0.46967719845912037,0.8624,0.010000000000000002
12,0.4118024612326756,0.8748,0.010000000000000002
13,0.38391256206633184,0.8794,0.010000000000000002
14,0.368036856698563,0.8832,0.010000000000000002
15,0.35160799263535863,0.8873,0.010000000000000002
16,0.31624398649196184,0.895,0.0010000000000000002
17,0.3080595588059072,0.8965,0.0010000000000000002
18,0.30186941510881,0.8961,0.0010000000000000002
19,0.29580981030945885,0.8966,0.0010000000000000002
20,0.29266934344530715,0.8981,0.0010000000000000002
