epoch,loss,accuracy,learning_rate
1,1.5902916699114358,0.4537,0.020000000000000004
2,1.2102854663453748,0.638,0.04000000000000001
3,1.0092742266252523,0.6488,0.06
4,0.8735789690176239,0.6471,0.08000000000000002
5,0.7942809364984712,0.6679,0.1
6,0.7117911673262906,0.7397,0.1
7,0.6671480478533088,0.7603,0.09890738129615784
8,0.6325131096803319,0.7868,0.09567727446556092
9,0.5893425698323018,0.7603,0.09045084714889527
10,0.5534503551395348,0.7542,0.0834565281867981
11,0.5215407098498186,0.7939,0.07500000000000001
12,0.4924301518046338,0.8239,0.06545084714889526
13,0.44406327795799433,0.8105,0.055226427316665654
14,0.40924815002762144,0.8517,0.04477358162403107
15,0.3650008733467678,0.862,0.034549152851104735
16,0.3201645930938404,0.8939,0.024999997019767763
17,0.2761304138414085,0.904,0.016543465852737426
18,0.23051725440394238,0.9148,0.009549149870872499
19,0.19789855586140967,0.9216,0.004322731494903565
20,0.17736675214889408,0.9231,0.001092621684074402
