epoch,loss,accuracy,learning_rate
1,3.0216559991812155,0.2007,0.1
2,2.0573506090037355,0.2704,0.1
3,1.9740308483543298,0.2923,0.1
4,1.887262345579884,0.3188,0.1
5,1.8064242744689707,0.3732,0.1
6,1.6900600829087864,0.3911,0.1
7,1.6240331352214374,0.402,0.1
8,1.5648122147830856,0.4537,0.1
9,1.5135001316094947,0.4241,0.1
10,1.465361380820994,0.4773,0.1
11,1.2498766261598337,0.5384,0.010000000000000002
12,1.2008827706736982,0.5353,0.010000000000000002
13,1.1648391758084602,0.5727,0.010000000000000002
14,1.1396750193422713,0.5712,0.010000000000000002
15,1.1172197866622748,0.5695,0.010000000000000002
16,1.0506039862437626,0.5751,0.0010000000000000002
17,1.0421830261759746,0.5936,0.0010000000000000002
18,1.0337066862284374,0.5915,0.0010000000000000002
19,1.0290559530258179,0.5939,0.0010000000000000002
20,1.0210214984386474,0.6035,0.0010000000000000002
